Accessible outside class
Amazing lectures
Beware of pop quizzes
Caring
Clear grading criteria
EXTRA CREDIT
Get ready to read
Gives good feedback
Graded by few things
Group projects
Hilarious
Inspirational
Lecture heavy
Lots of homework
Participation matters
Respected
Skip class
So many papers
Test heavy
Tough grader
